User,creationDate,listingId,strategy,借款用途,借款金额,其他事项,协议利率,单笔最高借款金额,历史最高负债,历史记录,学习形式,工作信息,年龄,征信记录,待还金额,性别,成功借款次数,成功还款次数,收入情况,文化程度,期限,正常还清次数,毕业院校,注册时间,第一次成功借款时间,累计借款金额,级别,网络借贷平台借款余额,资金运用情况,还款来源,逾期类型,逾期（0-15天）还清次数,逾期（15天以上）还清次数,本次借款后负债,title,投标人数,进度
,,124954990,,日常消费,"13,482",暂无,20%,"8,600.00","9,745.83",0次流标， 0次撤标， 0次失败,无,私营业主,30,暂未提供,"1,552.64",男,2次,11次,暂未提供,无,6个月,11次,无,2017/07/03,2017/07/03,"12,300.00",B,暂未提供,日常消费,个人存款,,0次,0次,,,,
,,124954981,,日常消费,500,暂无,20%,"1,200.00","4,910.58",0次流标， 1次撤标， 0次失败,无,暂未提供,20,暂未提供,"4,378.21",女,8次,17次,暂未提供,无,6个月,17次,无,2018/04/10,2018/04/11,"5,700.00",B,暂未提供,日常消费,薪资收入,,0次,0次,,,,
,,124955314,,旅游,987,暂无,20%,"6,500.00","10,143.43",0次流标， 0次撤标， 0次失败,成人,私营业主,36,暂未提供,"9,058.65",女,9次,39次,暂未提供,专科,6个月,27次,北京信息科技大学,2016/08/07,2017/06/13,"24,875.00",B,暂未提供,旅游,经营收入,,12次,0次,,,,
,,124955374,,日常消费,"1,000",暂无,20%,"6,465.00","8,921.46",0次流标， 0次撤标， 0次失败,无,私营业主,31,暂未提供,"3,347.08",女,5次,26次,暂未提供,无,3个月,26次,无,2017/04/14,2017/04/14,"19,341.00",B,暂未提供,日常消费,经营收入,,0次,0次,,,,
,,124956100,,旅游,"3,000",暂无,20%,"5,500.00","12,827.82",0次流标， 0次撤标， 4次失败,普通,暂未提供,35,暂未提供,"8,931.66",男,20次,114次,5000-8000（含5000）,本科,6个月,105次,武汉科技学院,2015/12/31,2015/12/31,"63,122.00",B,"14,497.00",旅游,个人存款,,8次,0次,,,,
,,124956388,,旅游,"1,673",暂无,20%,"2,000.00","3,447.93",0次流标， 0次撤标， 0次失败,无,暂未提供,22,暂未提供,"1,522.51",女,6次,18次,2000-5000（含2000）,无,6个月,17次,无,2017/07/10,2017/09/16,"5,583.00",B,暂未提供,旅游,薪资收入,,1次,0次,,,,
,,124956256,,日常消费,"13,500",暂无,20%,"15,000.00","16,912.16",2次流标， 1次撤标， 0次失败,普通,私营业主,33,暂未提供,0.00,男,4次,35次,8000-15000（含8000）,本科,6个月,28次,青岛科技大学,2017/05/12,2017/05/12,"21,990.00",B,暂未提供,日常消费,经营收入,,7次,0次,,,,
,,124956438,,兼职创业,"5,000",暂无,20%,"5,000.00","13,247.05",3次流标， 0次撤标， 0次失败,无,暂未提供,23,暂未提供,"10,742.16",女,9次,47次,2000-5000（含2000）,无,3个月,47次,无,2015/12/05,2017/04/06,"21,818.00",B,暂未提供,兼职创业,薪资收入,,0次,0次,,,,
,,124956765,,旅游,"10,730",暂无,20%,"11,200.00","19,362.51",0次流标， 0次撤标， 0次失败,无,私营业主,42,暂未提供,"7,355.79",男,7次,42次,8000-15000（含8000）,无,6个月,40次,无,2016/08/15,2016/08/15,"49,229.00",B,暂未提供,旅游,薪资收入,,2次,0次,,,,
,,124957782,,日常消费,700,暂无,20%,"3,250.00","7,012.91",0次流标， 0次撤标， 0次失败,无,私营业主,27,暂未提供,"5,273.48",男,17次,61次,8000-15000（含8000）,无,3个月,54次,无,2017/03/04,2017/03/13,"22,059.00",B,暂未提供,日常消费,经营收入,,7次,0次,,,,
