User,creationDate,listingId,title,借款用途,借款金额,协议利率,单笔最高借款金额,历史最高负债,学习形式,工作信息,年龄,待还金额,性别,成功借款次数,成功还款次数,收入情况,文化程度,期限,正常还清次数,毕业院校,注册时间,第一次成功借款时间,累计借款金额,级别,网络借贷平台借款余额,还款来源,逾期（0-15天）还清次数,逾期（15天以上）还清次数
pdu1****30450,2018-08-07 15:27:13,124229504,手机app用户的第11次闪电借款,日常消费,6000.0,20.0,11000.0,25060.32,无,暂未提供,30,14608.25,男,12,35,8000-15000（含8000）,无,3,35,无,2016-08-05,2017-02-27 20:31:43,50400.0,B,0.0,投资收入,0,0
pdu0****35472,2018-08-07 16:57:42,124240451,手机app用户的借款,旅游,3932.0,20.0,13400.0,20652.45,成人,私营业主,30,18071.58,女,16,59,2000-5000（含2000）,本科,3,52,四川理工学院,2017-08-10,2017-08-11 10:55:15,55662.0,B,0.0,薪资收入,7,0
pdu0****70722,2018-08-07 17:18:00,124242689,pdu0****70722第7次借款,日常消费,1248.0,20.0,6500.0,9974.17,无,暂未提供,37,5106.69,女,8,27,8000-15000（含8000）,无,3,25,无,2017-09-08,2017-09-08 18:27:29,25348.0,B,0.0,薪资收入,2,0
pdu1****70546,2018-08-07 17:32:32,124244350,手机app用户的第10次闪电借款,旅游,4700.0,20.0,12000.0,16179.16,无,暂未提供,32,16179.16,女,14,29,5000-8000（含5000）,无,3,29,无,2017-10-02,2017-10-21 09:15:19,50335.0,B,0.0,薪资收入,0,0
pdu6****82528,2018-08-07 17:49:32,124246131,pdu6****82528第15次借款,装修,2900.0,20.0,9600.0,13540.78,无,私营业主,34,13336.52,女,18,78,15000及以上,无,3,78,无,2017-05-06,2017-06-07 13:51:20,49347.0,B,12200.0,经营收入,0,0
pdu6****74417,2018-08-07 18:05:15,124247771,手机app用户的第8次闪电借款,日常消费,1000.0,20.0,4700.0,19446.52,无,暂未提供,32,10644.9,女,8,21,2000-5000（含2000）,无,3,21,无,2018-04-19,2018-04-26 15:33:47,23700.0,B,13485.0,薪资收入,0,0
pdu7****02873,2018-08-07 19:07:29,124253619,手机app用户的借款,日常消费,4000.0,20.0,10000.0,11358.54,无,私营业主,39,10969.28,男,9,30,15000及以上,无,3,30,无,2016-06-10,2017-06-03 17:47:34,38844.0,B,0.0,经营收入,0,0
pdu5****30073,2018-08-07 19:08:04,124253672,手机app用户的第4次闪电借款,日常消费,2000.0,20.0,14000.0,18721.55,无,暂未提供,44,14023.61,女,5,21,15000及以上,无,3,10,无,2017-07-06,2017-07-11 16:58:16,34333.0,B,0.0,经营收入,11,0
pdu0****35054,2018-08-08 07:13:42,124285686,pdu0****35054第6次借款,日常消费,646.0,20.0,6917.0,9606.85,无,暂未提供,43,6296.24,女,7,26,2000-5000（含2000）,无,3,26,无,2016-11-12,2017-10-02 10:42:22,22942.0,B,0.0,个人存款,0,0
pdu4****13881,2018-08-08 08:49:27,124292938,pdu4****13881第8次借款,日常消费,5000.0,20.0,6500.0,12731.7,无,暂未提供,45,9153.28,女,9,18,5000-8000（含5000）,无,3,18,无,2017-06-20,2017-07-20 12:29:29,32400.0,B,1733.0,经营收入,0,0
